Price,Address,Square Footage,Year Built,Bed Rooms,Style,Basement,Distance to City Core(KM),Quadrant
1095000,"339 Rocky Ridge Drive NW, Calgary, Alberta T3G 4X3",1618.61,2000,3,1,Finished,21.9,NW
1199000,"435 Rocky Ridge Drive NW, Calgary, Alberta T3G 5C2",1628,2002,3,1,Finished,21.5,NW
599900,"4538 19 Avenue NW, Calgary, Alberta T3B 0S2",1257.3,1982,2,2,Finished,8.5,NW
1169000,"4605 Hamptons Way NW, Calgary, Alberta T3A 6J9",2816.8,2002,4,2,Finished,18.4,NW
919900,"5024 22 Avenue NW, Calgary, Alberta T3B 0Y7",1886.58,2018,4,2,Finished,9.6,NW
589900,"5258 19 Avenue NW, Calgary, Alberta T3B0T2",989.78,1977,3,2,Finished,9.5,NW
1701000,"59 Royal Birch Cove NW, Calgary, Alberta T3G 5P9",1639,2023,3,1,Finished,23,NW
1099000,"6421 Bow Crescent NW, Calgary, Alberta T3B 2C5",2292.77,2023,4,2,Finished,11,NW
1139250,"71 Royal Birch Cove NW, Calgary, Alberta T3G 5P9",1187,2023,3,1,Finished,23,NW
899900,"7132 34 Avenue NW, Calgary, Alberta T3B 1N3",1839.73,2024,4,2,Finished,12.8,NW
1250000,"75 Hamptons Close NW, Calgary, Alberta T3A 6B8",3532.2,2004,4,2,Finished,18.6,NW
1280000,"8 Edgepark Mews NW, Calgary, Alberta T3A4G3",1977,1984,4,0,Finished,16.5,NW
825000,"8507 47 Avenue NW, Calgary, Alberta T3B 1Z8",1952.81,2022,4,2,Finished,14.6,NW
614900,"37 Greenbriar Place NW, Calgary, Alberta T3B 6J1",1756.48,2020,3,3,Unfinished,14,NW
604900,"614 Greenbriar Common NW, Calgary, Alberta T3B 6J2",1532.63,2020,4,3,Unfinished,14.3,NW
699000,"262 Royal Oak Court NW, Calgary, Alberta T2G5L9",1747.43,2004,4,2,Unfinished,23.4,NW
1099000,"191 Edelweiss Drive NW, Calgary, Alberta T3A 3R2",2658,1987,3,2,Unfinished,14.9,NW
500000,"119 Scenic Acres Terrace NW, Calgary, Alberta T3L 1Y4",1577.22,1993,3,2,Unfinished,16.8,NW
395000,"301 Ranch Glen Place NW, Calgary, Alberta T3G 1G2",886.51,1978,3,2,Unfinished,17.2,NW
634900,"4932 21 Avenue NW, Calgary, Alberta T3B 0X2",767,1952,3,1,Unfinished,9.4,NW
588888,"118 Tuscany Valley Drive NW, Calgary, Alberta T3L2C1",1177,1998,2,2,Unfinished,22.6,NW
749000,"148 Edgedale Drive NW, Calgary, Alberta T3A 2R5",1787,1985,4,1,Unfinished,15,NW
579900,"4652 82 Street NW, Calgary, Alberta T3B 2P7",931,1954,2,1,Unfinished,14.3,NW
650000,"8611 47 Avenue NW, Calgary, Alberta T3B 2A1",881.8,1954,3,1,Unfinished,14.5,NW
689800,"2412 48 Street NW, Calgary, Alberta T3B 1B7",1460,1954,3,1,Unfinished,9.6,NW
699900,"44 Rowmont Drive NW, Calgary, Alberta T3L2M4",1835,2023,3,2,Unfinished,20.1,NW
679900,"72 Rowmont Drive NW, Calgary, Alberta T3L2M4",1519,2023,3,2,Unfinished,20.9,NW
857500,"13 Rowmont Heath NW, Calgary, Alberta T3L 2M4",2149.17,2023,3,3,Unfinished,22.1,NW
480000,"45 Royal Crest View NW, Calgary, Alberta T3G 5W3",1725,2004,3,2,Unfinished,22.9,NW
1799000,"36 Cuthbert Place NW, Calgary, Alberta T2L 0S9",3463.16,2024,4,2,Unfinished,8,NW
